Number	Gender	GivenName	Surname	Birthday	Age	BloodType	Kilograms	Centimeters
2110	female	Felicienne	Moïse	5/9/2016	1	B+	11.8	75
2111	female	Charmaine	Deschênes	2/5/2002	15	A+	63.7	153
2112	male	Robert	Faubert	12/21/2009	8	A+	28.5	120
2113	male	Ephraim	Andreev	3/4/2009	8	O+	35	129
2114	male	Josh	Ward	1/6/2003	15	O+	63.4	177
2115	female	Eupraxia	Yurieva	6/22/2010	7	B+	18	125
2116	male	Robert	Bowman	2/27/2000	17	A+	72.3	175
2117	female	Zara	Yashina	5/6/2013	4	A-	19.3	102
2118	male	Benjamin	Reamer	3/15/2012	5	B+	14.7	112
2119	male	Roland	Yermakov	9/7/2008	9	A-	35.3	136
2120	male	Gerald	Smith	4/13/2009	8	A+	29.9	136
2121	male	Elliot	Austin	6/10/2011	6	O+	21.4	121
2122	male	Evan	Baker	4/12/2001	16	O+	76.8	182
2123	female	Robyn	Baker	2/18/2000	17	O+	47.4	158
2124	female	Eleanor	Chan	5/12/2002	15	B+	74.1	162
2125	male	Jamie	Gibbs	5/18/2005	12	B+	59.6	136
2126	male	Louis	Atkinson	4/24/2006	11	A+	50.4	152
2127	male	John	Taylor	6/1/2012	5	B-	23.4	109
2128	male	Lothair	Plaisance	8/18/2017	0	AB+	4.5	47
2129	male	Larry	Nixon	3/9/2016	1	O+	12.7	77
2130	male	Iven	Foucault	3/19/2009	8	A+	24.7	119
2131	male	Laurent	Cloutier	3/4/2004	13	O+	53.8	155
2132	male	Joshua	Cunningham	10/23/2017	0	O-	3.9	45
2133	male	Timothy	Ochoa	11/4/2010	7	B+	18	122
2134	female	Marina	Kudryashova	5/6/2004	13	B+	41.2	160
2135	male	Emelyan	Tretiakov	8/8/2011	6	O+	26.6	123
2136	male	Jamie	Pope	7/11/2005	12	O+	31.4	158
2137	female	Apolline	Robert	11/29/2007	10	O+	51.6	132
2138	male	Athanasius	Andreev	8/11/2009	8	A+	31.7	121
2139	female	Andrea	Butz	9/24/2007	10	A+	45.9	145
2140	male	Andrew	Bond	1/26/2009	8	O+	23.5	127
2141	male	Curtis	Beal	2/26/2012	5	A+	21.6	101
2142	male	Mark	Soto	5/3/2002	15	A+	51.1	164
2143	male	Stéphane	Norbert	4/18/2016	1	B+	13	73
2144	male	Raymond	Morgan	8/23/2004	13	B+	69.7	170
2145	male	Ryan	Latshaw	8/31/2010	7	O+	28	116
2146	female	Ruby	Lambert	12/2/2003	14	B+	53.6	158
2147	male	Borislav	Vasin	4/4/2012	5	O+	17.4	116
2148	male	Raymond	Margand	11/5/2008	9	A+	39.9	144
2149	female	Abbie	Singh	5/29/2015	2	A+	11	79
2150	female	Élise	Baril	3/23/2001	16	AB+	67.1	169
2151	female	Anna	Yermakova	6/4/2001	16	B+	70.9	161
2152	female	Monica	Pokrovskaya	6/9/2005	12	A+	42.6	141
2153	male	Stephen	Roberson	9/29/2016	1	A+	10.4	74
2154	female	Keira	Franklin	4/27/2001	16	A+	78.7	159
2155	female	Barbara	Webb	1/21/2018	0	B+	2.1	47
2156	female	Lisa	Johnston	4/22/2005	12	B+	46.9	139
2157	male	Christopher	Henderson	11/1/2005	12	O+	36	158
2158	female	Elizabeth	Robinson	3/28/2006	11	A-	50.1	136
2159	female	Evie	Barton	5/20/2011	6	O+	25.7	113
2160	female	Sarah	Golubeva	3/3/2010	7	B+	29.2	123
2161	female	Roxanne	Biryukova	4/16/2017	0	A+	2.2	51
2162	female	Anna	Rogova	8/30/2000	17	O-	76	174
2163	female	Milena	Loginova	2/27/2013	4	B+	12.3	97
2164	female	Albracca	Gendron	7/9/2009	8	O+	22.6	130
2165	female	Josephine	Gage	8/21/2001	16	B-	51.4	158
2166	female	Euphrosyne	Yuryeva	4/12/2016	1	A+	10.2	78
2167	male	Paul	Byrd	8/11/2009	8	O+	34.3	126
2168	female	Karen	Sizemore	3/8/2010	7	A+	27	112
2169	male	Harry	Kiely	9/6/2003	14	B+	53.8	159
2170	female	Maya	Blinova	8/11/2005	12	B+	55.5	164
2171	male	Jackson	Clark	10/14/2009	8	O+	37.4	131
2172	male	Daniel	Stewart	10/12/2000	17	O+	54.4	179
2173	male	Owen	Hodgson	11/12/2015	2	O+	11.4	84
2174	male	Michael	Lee	5/8/2011	6	O+	24.9	107
2175	male	Scott	Thompson	1/3/2017	1	O+	11.9	74
2176	female	Leona	Lane	7/30/2017	0	A-	2.6	52
2177	male	Lewis	Farmer	10/4/2009	8	B+	33.4	136
2178	male	Ruben	Polyakov	3/26/2004	13	O+	64.7	162
2179	female	Christina	Orr	11/12/2015	2	O+	15.1	78
2180	female	Olympics	Cherkasova	10/14/2008	9	O+	25.7	141
2181	female	Patrice	Quiron	9/21/2015	2	A+	14.2	84
2182	female	Oksana	Rogova	2/23/2012	5	B+	23.4	106
2183	male	Ewan	O'Donnell	10/24/2004	13	AB+	60.8	164
2184	female	Solaine	Rochefort	10/26/2005	12	B+	49.2	140
2185	male	Franck	Benjamin	11/17/2006	11	A+	50.1	139
2186	female	Anastasia	Belyakova	2/22/2016	1	B+	10.1	72
2187	male	Ernest	Isom	7/23/2013	4	A+	20.2	106
2188	male	Jeremy	Simpson	2/4/2004	13	O+	62	145
2189	female	Glyceria	Gavrilova	7/24/2005	12	A+	33.6	143
2190	female	March	Lavrentyev	9/18/2015	2	A+	15.4	91
2191	male	Finlay	Dodd	7/4/2002	15	O+	63.9	161
2192	male	Leo	Howell	2/20/2000	17	O+	59.9	180
2193	male	Rudolph	Ponomarev	10/6/2016	1	O+	9.4	79
2194	female	Alexandrin	Archambault	3/4/2014	3	O+	11.3	98
2195	male	David	Bazhenov	12/8/2000	17	AB+	67.2	177
2196	female	Agnès	Tollmache	4/1/2017	0	B+	2.4	47
2197	male	Basil	Ignatiev	9/2/2015	2	O+	14.1	90
2198	male	Patrick	Duncan	12/16/2001	16	A-	72	161
2199	female	Ilona	Agafonova	11/23/2015	2	O+	15.4	88
2200	female	Georgette	Martin	11/19/2008	9	O+	35.4	135
2201	female	Mary	Gooden	5/24/2003	14	A+	60.3	154
2202	female	Annot	Fournier	9/17/2013	4	A+	12.1	103
2203	male	Mitrofan	Vinogradoff	7/19/2007	10	A+	37.9	152
2204	male	Matthew	Guardado	8/28/2004	13	A+	35.5	159
2205	male	Gabriel	Thompson	11/30/2004	13	AB+	66.4	156
2206	female	Tilly	Todd	5/6/2002	15	O+	44.3	157
2207	male	Émile	Arsenault	6/21/2009	8	A+	27.7	124
2208	male	Joseph	Brooks	10/23/2003	14	B+	65.7	161
2209	male	Tearlach	Boisclair	6/3/2016	1	B+	8.1	79
2210	female	Albina	Samsonova	5/22/2006	11	O+	58	138
2211	female	Madeleine	Carter	11/5/2017	0	O+	3.5	53
2212	female	Isabell	Harness	12/8/2010	7	A+	24	112
2213	female	Vanessa	Efremova	10/6/2009	8	B+	27.1	128
2214	female	Sofia	Denisova	3/28/2008	9	O+	40.6	136
2215	male	Vail	Généreux	6/22/2003	14	O+	61.1	173
2216	female	Jennifer	Hall	2/15/2000	17	O+	44.3	153
2217	male	Leonid	Bulgakov	9/20/2010	7	B+	27	126
2218	male	Ruslan	Yegorov	9/4/2015	2	A+	14.1	93
2219	female	Clementine	Perillard	8/29/2004	13	O+	68.3	161
2220	female	Elise	Pugh	8/19/2005	12	B+	52.2	165
2221	female	Anouk	Lavoie	12/5/2012	5	B+	23.4	111
2222	female	Christiane	Montminy	10/15/2005	12	A+	62.6	163
2223	female	Elena	Pineda	3/7/2002	15	A-	63.8	174
2224	male	Vincent	Lancaster	12/6/2000	17	A+	49.6	169
2225	male	Ewan	Henderson	11/29/2013	4	O+	15.5	110
2226	female	Alice	Sorokina	2/14/2012	5	O-	16.2	103
2227	female	Inga	Yuryeva	7/12/2000	17	B+	82.8	167
2228	male	Timothée	Quinn	11/4/2000	17	A+	53.8	163
2229	male	Théophile	Cotuand	12/1/2016	1	O+	10.2	77
2230	female	Hedwig	Zhdanova	2/7/2004	13	O+	52.8	170
2231	female	Daisy	Blake	8/16/2009	8	O+	20.5	120
2232	female	Jeanette	Boutot	7/20/2005	12	O+	48.5	160
2233	female	Amelie	Johnson	11/20/2016	1	O+	8.8	70
2234	male	Ganelon	Moquin	7/2/2008	9	O+	27	136
2235	female	Fatima	Biryukova	11/15/2010	7	AB+	19.9	129
2236	male	Jacob	Ponomaryov	3/18/2005	12	O-	33	160
2237	male	Houston	Thompson	3/12/2004	13	O+	36.3	152
2238	female	Amelia	Mahmood	6/17/2006	11	O-	27.2	141
2239	female	Marveille	Michel	10/28/2010	7	A+	32.9	117
2240	female	Alain	Kotova	3/21/2000	17	B+	86.5	164
2241	male	Genghis	Ulyanov	4/8/2017	0	O+	4.5	53
2242	female	Carol	Shea	4/7/2008	9	O+	27.5	133
2243	male	Edward	Alvarez	2/24/2006	11	A+	43.6	137
2244	female	Jade	Bell	4/15/2003	14	A+	38.7	161
2245	female	Demi	Newman	11/16/2003	14	O+	39	148
2246	female	Amitee	Bergeron	11/20/2010	7	B+	23.9	119
2247	male	Paramon	Kruglov	7/31/2004	13	O+	42.4	165
2248	female	Blanche	Lefèbvre	1/11/2010	8	A+	21.4	131
2249	male	Cornelius	Gerasimov	6/3/2004	13	O+	60.3	150
2250	male	Mark	Korovin	10/21/2001	16	O+	47.6	162
2251	female	Michelle	Walters	7/22/2009	8	B+	33.1	137
2252	female	Ruby	Ellis	7/10/2013	4	A+	13.2	106
2253	male	Christopher	Ellard	4/16/2000	17	B+	86	182
2254	male	Joel	Williamson	12/30/2008	9	O+	26.2	133
2255	male	Georges	Marois	12/23/2004	13	O+	44.1	164
2256	female	Georgia	Lord	8/13/2002	15	A+	65	162
2257	male	Liam	Kaur	6/7/2004	13	A+	62.1	167
2258	female	Anfisa	Kalinina	6/20/2007	10	B+	25.6	129
2259	female	Tiny	Miler	10/13/2003	14	A+	40.8	164
2260	male	Royce	Desaulniers	10/1/2009	8	A+	31.9	123
2261	male	Geoffrey	Auger	8/13/2011	6	A-	18	111
2262	female	Stacy	Trotter	1/19/2015	3	A+	16.6	99
2263	male	John	Peck	9/2/2012	5	O+	16.4	109
2264	male	Dmitry	Ermakov	10/8/2014	3	O+	14.5	89
2265	male	Byron	Tougas	5/24/2011	6	A+	16.3	108
2266	male	James	Garcia	5/1/2017	0	A+	4.8	49
2267	female	Alice	Fields	10/29/2005	12	B+	51.8	139
2268	female	Eleanor	Charbonneau	1/5/2013	5	O+	16.2	111
2269	female	Antonina	Agapova	9/23/2013	4	A+	21	93
2270	female	Rudy	Sartain	11/17/2007	10	B+	31.6	127
2271	female	Holly	Dennis	10/15/2006	11	A+	31.9	148
2272	male	Zachary	Evans	7/18/2016	1	O+	8	78
2273	male	Stepan	Zhdanov	12/17/2004	13	O+	51.7	163
2274	female	Véronique	Labossière	2/2/2012	5	B-	24.7	106
2275	male	Zahar	Abramoff	1/14/2009	9	B+	28.4	137
2276	male	Robert	Leonard	2/11/2016	1	B+	9.8	71
2277	male	Andrew	Robertson	8/18/2003	14	O+	57.8	173
2278	male	Adam	Warner	5/27/2011	6	A+	19.2	108
2279	female	Cerise	Morel	12/10/2010	7	O+	25.3	131
2280	male	Stephen	Oakley	12/25/2008	9	B+	23.8	130
2281	male	Ted	Perez	12/16/2007	10	O+	37	148
2282	male	Ernest	Aksyonov	3/10/2006	11	O-	38.9	145
2283	male	Zakir	Bulgakov	5/6/2001	16	A+	64.3	174
2284	male	Spartacus	Ponomarev	3/21/2008	9	O+	24.5	145
2285	male	Robert	Artemiev	10/6/2013	4	O-	15.8	108
2286	female	Rachel	Tretyakova	12/25/2016	1	B+	9	80
2287	male	Prokhor	Ignatieff	8/25/2014	3	B+	11.6	94
2288	female	Scarlett	Connor	7/24/2003	14	O+	56.9	165
2289	female	Euphrosyne	Loginova	1/4/2006	12	A+	30.9	148
2290	female	Ida	Fomina	7/27/2002	15	AB-	41.7	164
2291	male	Mayor	Ozerov	7/20/2007	10	A+	27.7	151
2292	male	Archie	Chamberlain	11/5/2000	17	A-	88	182
2293	male	Basil	Artemiev	12/26/2009	8	O+	33	127
2294	male	Allen	Crosley	10/26/2008	9	O+	43	139
2295	female	Isabelle	McGriff	3/15/2008	9	A-	34.4	123
2296	male	Travers	Aubé	10/6/2014	3	B+	13	91
2297	male	Riley	Godfrey	6/1/2014	3	A+	19	92
2298	female	Dean	Samoylova	8/12/2015	2	O+	11.9	85
2299	male	Joseph	Brown	4/25/2008	9	B+	26.4	137
2300	female	Holly	Hussain	3/31/2002	15	A+	71.7	160
2301	male	Vick	Grandpré	6/10/2008	9	A+	41.8	127
2302	female	Naomi	Weston	1/19/2013	5	A+	22.4	103
2303	female	Nathalie	Bourassa	5/27/2012	5	A+	19.7	107
2304	female	Isabel	Palmer	5/3/2014	3	O+	11.4	97
2305	male	Yaroslav	Bocharov	10/20/2000	17	A+	70.7	176
2306	male	Genghis	Mironov	10/12/2000	17	AB+	78	175
2307	female	Brooke	Roberts	8/16/2017	0	B+	4.5	53
2308	female	Élodie	Lachapelle	3/20/2015	2	A+	14.4	81
2309	female	Jennifer	Carter	5/12/2005	12	O+	42.9	162
2310	male	Leon	Dorgan	5/1/2007	10	O+	44.1	130
2311	male	Alex	Medvedev	6/19/2010	7	O+	31.5	113
2312	male	Jimmie	Atlas	6/8/2003	14	B+	60.6	153
2313	male	Archie	Smart	8/1/2007	10	B+	28.3	142
2314	female	Snjezana	Samoylova	4/22/2011	6	A+	18.1	112
2315	female	Madeleine	Croteau	12/14/2002	15	O+	43.2	167
2316	male	Varden	Beaulac	2/2/2017	0	O+	3	53
2317	male	Rashid	Matveyev	1/23/2005	12	A+	33.4	161
2318	male	Julius	Mironov	4/16/2012	5	O-	22.1	113
2319	male	Zak	Ward	5/15/2009	8	B+	23.4	138
2320	female	Catalina	Babin	4/16/2007	10	O+	24.9	138
2321	female	Jacqueline	René	12/18/2004	13	A+	65.8	151
2322	male	Johnson	Ince	11/23/2005	12	B+	63.3	159
2323	male	Edward	Wilbur	10/9/2012	5	O+	15.4	105
2324	female	Nina	Balashova	9/12/2006	11	A+	45.7	140
2325	male	Odell	Morales	11/11/2001	16	A+	49.4	159
2326	male	Mervin	Pringle	5/9/2013	4	AB+	20.8	111
2327	male	Salvador	Anderson	10/29/2008	9	B+	29.4	139
2328	male	Aimé	Brousseau	12/6/2017	0	A+	3.9	55
2329	male	Matthew	Maury	1/13/2004	14	B+	40.9	177
2330	male	Kian	Burrows	3/8/2008	9	O-	27.9	136
2331	female	Brenda	Bass	3/6/2014	3	O+	14.6	98
2332	male	Aaron	Hamilton	6/26/2005	12	B+	45.2	136
2333	male	Jeremy	Jacobs	9/17/2001	16	O+	47.3	179
2334	male	Rafik	Tretiakov	3/20/2017	0	O+	3.9	46
2335	male	John	Hill	11/4/2012	5	B+	24.9	116
2336	male	Constantine	Kazantsev	6/1/2009	8	B+	29.1	133
2337	female	Alaine	Barjavel	8/14/2007	10	B+	46.8	126
2338	female	Pearl	Mei	12/27/2005	12	A+	60.3	160
2339	female	Skye	Pickering	5/27/2016	1	O+	9.9	69
2340	female	Elizabeth	Wimbush	12/23/2009	8	O+	27.6	131
2341	female	Jodie	Marks	6/3/2010	7	AB+	32.5	118
2342	male	Vincent	Lagueux	4/19/2017	0	B+	4.8	47
2343	male	Oles	Efimov	3/28/2006	11	B+	34.8	143
2344	male	Blair	Dupre	10/4/2000	17	O+	66.8	178
2345	male	Roy	Moye	11/21/2011	6	A-	17.4	110
2346	female	Sienna	Barry	8/1/2005	12	O+	45.8	163
2347	male	Bertrand	Garceau	6/12/2008	9	A+	42.3	122
2348	female	Kathleen	Decarlo	8/14/2016	1	O+	8.7	69
2349	male	Toussaint	Lafontaine	1/24/2008	9	O+	33.8	122
2350	male	Bogdan	Maslow	10/29/2007	10	A+	45.8	132
2351	female	Nicole	Monjeau	12/26/2013	4	B+	12.8	97
2352	female	Zoe	Mason	2/2/2007	10	B+	44.9	127
2353	male	Proclus	Yudin	5/31/2000	17	O+	70.3	184
2354	female	Zara	Émond	7/12/2011	6	B+	21.2	119
2355	female	Tatiana	Bocharova	9/16/2002	15	B+	72.7	160
2356	female	Rita	Benedict	1/30/2008	9	O+	30.2	130
2357	male	Yuri	Mordvinov	7/18/2013	4	B+	17.2	105
2358	male	Emmanuel	Stewart	2/2/2013	4	O-	16.2	98
2359	female	Stephanie	Short	10/7/2009	8	A+	25.1	121
2360	female	Elise	Bennett	6/21/2005	12	B+	47.3	142
2361	male	Jonathan	Johnston	1/25/2012	5	B+	15.2	105
2362	female	Orva	Melanson	10/23/2002	15	A-	72.7	169
2363	male	Mason	Jones	12/30/2000	17	O+	83.6	173
2364	female	Imogen	Hill	3/11/2008	9	B+	35.4	139
2365	male	Zakir	Yuriev	10/5/2008	9	O+	22.7	136
2366	female	Annette	Berthelette	10/2/2010	7	O+	25.7	125
2367	male	Michael	Doud	9/2/2005	12	B+	36.3	155
2368	female	Marylyn	Johnson	9/19/2012	5	B+	16.9	114
2369	female	Lolita	Wilbanks	4/2/2015	2	O+	10	82
2370	male	Theodore	Andreyev	5/29/2000	17	O+	65.9	176
2371	female	Isabella	Baranova	12/1/2005	12	O+	41.4	145
2372	female	Tia	Hayes	1/24/2009	8	B+	37	136
2373	male	Théophile	Lamare	12/16/2009	8	O+	35.9	139
2374	female	Terri	Wallace	5/10/2002	15	A+	47.9	163
2375	male	Henry	Osborne	4/29/2001	16	B+	72.4	184
2376	female	Simone	Masson	3/6/2016	1	O+	11.9	72
2377	male	Novel	Balabanov	5/10/2015	2	O+	15.2	92
2378	male	Ilya	Alexeieva	7/28/2002	15	A+	43.2	167
2379	female	Miroslav	Zubareva	8/16/2017	0	O+	4.1	47
2380	female	Lirienne	Lajeunesse	10/2/2011	6	AB+	21.4	124
2381	female	Isobel	Welch	8/6/2008	9	O+	21	131
2382	male	Alexander	Davidson	2/28/2016	1	A+	10.7	79
2383	female	Huette	Leclair	8/22/2004	13	B+	60.1	154
2384	female	Carol	Range	10/16/2016	1	B-	9	69
2385	female	Maisie	Warner	5/30/2001	16	O+	81.2	150
2386	male	William	Mailloux	9/2/2014	3	O+	16.7	102
2387	male	Gifford	Legault	5/7/2000	17	B+	85.1	185
2388	female	Scarlett	Stevens	12/11/2017	0	A+	3.5	52
2389	male	Edward	Allen	2/9/2002	15	A+	70.4	157
2390	male	Jake	Nicholls	3/27/2011	6	A-	27.4	120
2391	male	William	Holland	5/18/2010	7	A+	28.7	126
2392	female	Lucia	Samsonova	8/25/2017	0	A+	3.6	49
2393	female	Eve	Barnes	12/3/2012	5	B+	23.2	117
2394	female	Nicolette	Sacré	4/27/2016	1	A+	8.5	69
2395	male	Karel	Primeau	9/28/2000	17	B+	81.2	179
2396	female	Holly	Stephenson	4/21/2014	3	O+	15.6	89
2397	female	Eglantine	Lachapelle	10/30/2010	7	B+	17	121
2398	male	Basil	Balabanov	3/2/2008	9	B+	43.9	132
2399	male	Paul	Golubov	5/26/2015	2	A+	12.4	90
2400	female	Morgana	Bellemare	8/19/2007	10	B+	51.9	151
2401	female	Carmen	Johnson	9/26/2015	2	A+	9.6	90
2402	male	Athanasius	Abramoff	1/27/2001	16	B-	48.6	176
2403	female	Elise	Wong	5/12/2014	3	A+	17	102
2404	female	Marina	Kazakova	4/3/2002	15	B+	81.2	167
2405	female	Pascaline	Brian	11/12/2005	12	B-	34.2	143
2406	female	Aaliyah	Parker	9/22/2004	13	A+	60	151
2407	female	Tormented	Tychonoff	10/6/2001	16	B+	59.4	164
2408	male	Aimé	Gendron	9/18/2015	2	B+	12.5	86
2409	male	Davet	Abril	9/13/2000	17	O+	93	185
2410	male	Felix	Ignatiev	4/18/2005	12	A+	47.7	148
2411	male	Nick	Bodrov	7/5/2011	6	A+	16.4	113
2412	male	Adam	Fullen	5/11/2003	14	B+	39.8	153
2413	female	Lydia	Aksyonova	2/5/2016	1	B+	9.9	75
2414	female	Victoria	Afanasyeva	7/14/2010	7	B+	20.3	120
2415	female	Naomi	Lamb	7/10/2004	13	O+	63.9	144
2416	male	Rod	Beehler	12/13/2006	11	B+	29	150
2417	male	Dalton	Hill	11/27/2016	1	A+	9.6	72
2418	female	Aimee	Watts	1/8/2013	5	B+	18	103
2419	female	Josefina	Leclair	9/11/2010	7	O+	19.9	118
2420	female	Iva	Ricard	3/13/2012	5	A+	18.6	103
2421	male	Wayne	Mullen	2/24/2010	7	O+	22.8	120
2422	male	Guillaume	Robillard	12/22/2012	5	O+	16.3	101
2423	male	Kai	McCarthy	5/11/2005	12	A+	30.4	162
2424	male	Noah	Conway	9/10/2000	17	O+	61.1	162
2425	female	Lydia	Dyer	10/30/2001	16	B+	45	157
2426	male	Declan	Randall	4/11/2006	11	B+	34.8	135
2427	male	Avenall	Deschamps	12/15/2002	15	A+	82.3	162
2428	male	Harry	Dodd	10/18/2008	9	A+	42.9	142
2429	female	Zara	Miles	3/24/2012	5	B+	19.2	99
2430	female	Victorine	Routhier	11/1/2000	17	A+	85.2	166
2431	female	Tilly	Vertefeuille	4/1/2004	13	A+	72.4	146
2432	female	Grace	Sutton	7/1/2012	5	A+	17.6	109
2433	male	Logan	Dyer	8/20/2012	5	O+	17.1	111
2434	female	Abbie	Field	8/4/2007	10	A+	51.8	142
2435	female	Katrina	Stinnett	11/15/2014	3	O+	15.7	99
2436	male	Anatoly	Woronoff	9/9/2017	0	A+	3	49
2437	female	Jacquenett	Lebrun	9/17/2010	7	AB+	24.9	122
2438	male	Nicanor	Pokrovskii	1/17/2014	4	B+	18.8	110
2439	male	Sumner	Charron	5/27/2000	17	O+	72.6	163
2440	male	Luc	Cailot	12/18/2004	13	A+	54.6	163
2441	female	Angelette	Auger	8/10/2011	6	O+	16.9	119
2442	male	Robert	Jackson	2/7/2012	5	O+	21.7	115
2443	male	Emmanuel	Uspensky	10/11/2006	11	O+	46.2	137
2444	female	Chloe	Little	6/21/2002	15	O-	77.6	158
2445	female	March	Isayeva	4/22/2017	0	A+	3.9	50
2446	male	Soren	Fugère	4/1/2002	15	A+	61.5	172
2447	female	Roxanne	Abramova	8/22/2012	5	A+	21.9	105
2448	female	Zarina	Samsonova	4/8/2017	0	O+	3.1	45
2449	female	Madge	Collins	3/8/2004	13	A+	53.7	154
2450	male	Rudolph	Voronoff	8/24/2000	17	O+	69.8	182
2451	male	Zakir	Kirillov	10/17/2014	3	A+	14	103
2452	male	John	Stephenson	9/16/2012	5	O-	16.2	108
2453	female	Pelagia	Kapustina	1/17/2013	5	AB+	15.7	107
2454	male	Oscar	Bevan	2/14/2015	2	O+	12.2	88
2455	male	Samuel	McKenzie	11/2/2002	15	A+	83.3	158
2456	female	Janet	Paschall	9/3/2007	10	O+	24.4	144
2457	male	Jacques	Bourdette	3/4/2004	13	O-	50.5	155
2458	female	Amelie	Perkins	10/24/2010	7	B+	19.4	116
2459	male	Damian	Ankudinov	4/7/2008	9	O+	41.4	122
2460	female	Jazmin	Wilson	1/29/2017	0	O+	3.9	46
2461	male	Yves	Babin	2/2/2009	8	O+	26.9	126
2462	female	Agnes	Lavrentyev	6/25/2005	12	A+	37.8	141
2463	male	Normand	Therrien	7/7/2008	9	B+	31.9	142
2464	male	Mark	Bickel	12/11/2003	14	O-	38.4	167
2465	male	Geoffrey	Cliche	2/19/2006	11	A+	53.7	136
2466	female	Joséphine	Guertin	9/2/2009	8	O+	36.7	127
2467	female	Paulette	Lepage	6/5/2003	14	A+	58.4	159
2468	male	Hayden	Murphy	5/21/2004	13	O+	69.2	143
2469	female	Hollie	Wilkins	7/22/2002	15	O+	72.8	152
2470	female	Dorris	Reed	2/6/2009	8	O+	24.9	124
2471	female	Angela	Camp	5/1/2005	12	A+	35.8	156
2472	female	Cyrus	Krylova	7/16/2016	1	A+	7.2	69
2473	male	Gaetan	Cressac	12/16/2000	17	AB+	66.3	166
2474	male	Henry	Thompson	8/25/2006	11	B+	40.9	141
2475	male	Logan	Hall	1/27/2006	11	O+	30.5	144
2476	male	Gauthier	Blanc	3/24/2010	7	O-	22.1	112
2477	male	Christopher	Azarov	5/30/2007	10	A+	47.3	142
2478	male	Paul	Stewart	7/18/2017	0	O+	4.2	45
2479	female	Megan	Patel	3/31/2004	13	O-	57.5	151
2480	female	Paulette	Grandpré	8/27/2008	9	O+	26.6	142
2481	male	Yefim	Zuyev	5/14/2002	15	B+	69.8	184
2482	female	Diane	de Chateaub	1/23/2014	3	O+	13.5	101
2483	female	Azura	Cressac	6/21/2008	9	O+	24.1	125
2484	male	Christian	Ailleboust	1/26/2005	12	A+	46.9	144
2485	male	Wesley	Harbour	4/7/2014	3	A+	12	94
2486	female	Ruth	Wilkie	5/17/2006	11	B+	45.9	147
2487	female	Eleanor	Nixon	11/3/2000	17	O+	81.1	161
2488	male	Tim	Ranson	12/26/2012	5	O-	23	105
2489	male	Daniel	Baryshnikov	6/11/2013	4	O+	13.5	109
2490	female	Jessica	Lloyd	4/10/2011	6	O+	18.4	121
2491	male	Michael	Ford	9/30/2002	15	A+	61.1	157
2492	male	Michael	Muravyov	10/6/2004	13	A-	46.2	142
2493	female	Liane	Lamare	9/11/2003	14	O+	62.3	151
2494	male	Jimmy	Valenzuela	9/28/2008	9	A+	31.1	146
2495	female	Ustinov	Bogdanova	8/6/2001	16	AB+	59.9	174
2496	male	Nathan	Ignatiev	12/8/2012	5	A+	16.7	112
2497	female	Molly	Haynes	4/19/2010	7	O+	24.3	116
2498	female	Marguerite	Carlton	11/2/2004	13	O+	38.2	169
2499	male	Aaron	Lambert	6/28/2016	1	B+	9.3	80
2500	female	Galina	Baranova	10/18/2006	11	B+	31.1	154
2501	male	Matthew	Dean	9/9/2011	6	O+	16.1	120
2502	female	Magnolia	Lécuyer	9/4/2008	9	A+	21.2	142
2503	male	Polycarp	Konovalov	8/23/2012	5	O+	20.2	112
2504	male	Jeffrey	Valerio	6/21/2001	16	O+	57.5	162
2505	female	Trinette	Picard	5/24/2004	13	O+	66.7	169
2506	female	Janina	Zhdanova	12/18/2005	12	B+	46.3	162
2507	male	Thomas	Woronoff	1/13/2018	0	O+	3.9	46
2508	female	Zara	Graham	5/4/2008	9	O+	35	129
2509	female	Katherine	Wong	1/23/2010	7	O+	26.1	128
2510	female	Amy	Stallings	9/26/2002	15	AB+	75.4	158
2511	female	Ethel	Long	5/2/2004	13	A+	64.7	160
2512	female	Brooke	Newton	6/4/2009	8	O-	33.4	137
2513	male	Thiery	Étoile	4/6/2017	0	O+	4.3	54
2514	female	Heather	Moran	10/9/2013	4	B+	12.2	106
2515	female	Eleanor	Aksenova	9/11/2005	12	O+	31.5	147
2516	female	Veronica	Abramova	2/21/2001	16	O-	62	153
2517	male	Hayden	Houghton	3/12/2010	7	A+	32.2	130
2518	male	Finley	French	4/5/2015	2	A-	16	82
2519	female	Babette	Drouin	8/27/2007	10	AB+	52	132
2520	female	Agnes	Lavrova	5/22/2003	14	B-	68.7	153
2521	male	Odo	Primeau	2/22/2013	4	A+	13.3	110
2522	female	Jill	Wilson	8/26/2011	6	A+	27.6	107
2523	female	Camilla	Fedorova	8/24/2006	11	A+	34.3	153
2524	male	James	Lenox	8/18/2001	16	B+	60.3	178
2525	male	Ignace	Barrette	2/16/2010	7	A+	20.6	113
2526	male	Samson	Abramoff	6/19/2004	13	O+	65.3	145
2527	female	Pamela	Lopes	2/7/2011	6	AB+	22.1	115
2528	male	D'Arcy	Chicoine	8/23/2016	1	O+	9.6	82
2529	male	Simon	Tokaryev	5/25/2012	5	A+	21.4	100
2530	female	Beulah	Ackerson	6/21/2015	2	O+	15.4	78
2531	female	Ruth	Bykova	12/31/2002	15	A+	41.1	164
2532	female	Valentine	Franchet	6/30/2008	9	A+	26.7	140
2533	male	Vladislav	Seleznyov	2/11/2016	1	A+	10.3	79
